,Recipient Number,Project Number,Project Status,Amount Recovered,Project Type,Commitment Date,Completion Date,Disbursements to Date,Type of Disbursement,Interest Rate,Eligible Project Costs from Related Public Dollars,Eligible Project Costs from 3rd Party Public Dollars,Eligible Project Costs from Related Private Dollars,Eligible Project Costs from 3rd Party Private Dollars,Total Eligible Project Costs,Total Project Costs,Project Address,Project City,Project State,Project Zip Code (5),Additional Locations,EDA Type,EDA Square Footage,First-Time Homebuyer,Homebuyer Income Category,Development Activity Project Number,Mask Geocoded Census Tract FIPS_x,Mask Geocoded Census Tract FIPS Location_x,Use of Funds,Amount of committed CMF Investment,Date Funds Committed,Stage of Investment,Disbursement Status,Date of First Disbursement,Date of Full Disbursement,Completed Rental Units,Completed Owner Occupied,Rental - Number of Projected Income Eligible Units,Rental - Total Number of Projected Units,Rental - Number of Cumulative Units Completed: Extremely Low-Income Occupants,Rental - Number of Cumulative Units Completed: Very Low-Income Occupants,Rental - Number of Cumulative Units Completed: Low-Income Occupants,Rental - Number of Cumulative Units Completed: Other Eligible Occupants,Rental - Number of Cumulative Units Completed: Non-Eligible Occupants,Rental - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Extremely Low-Income Occupants,Rental - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Very Low-Income Occupants,Rental - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Low-Income Occupants,Rental - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Other Eligible Occupants,Rental - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Non-Eligible Occupants,Rental - Number of Cumulative Units Occupied: Extremely Low-Income Occupants,Rental - Number of Cumulative Units Occupied: Very Low-Income Occupants,Rental - Number of Cumulative Units Occupied: Low-Income Occupants,Rental - Number of Cumulative Units Occupied: Other Eligible Occupants,Rental - Number of Cumulative Units Occupied: Non-Eligible Occupants,Use of Low-Income Housing Tax Credit Dollars,Owner-Occupied - Number of Projected Income Eligible Units,Owner-Occupied - Total Number of Projected Units,Owner-Occupied - Number of Cumulative Units Completed: Extremely Low-Income Occupants,Owner-Occupied - Number of Cumulative Units Completed: Very Low-Income Occupants,Owner-Occupied - Number of Cumulative Units Completed: Low-Income Occupants,Owner-Occupied - Number of Cumulative Units Completed: Other Eligible Occupants,Owner-Occupied - Number of Cumulative Units Completed: Non-Eligible Occupants,Owner-Occupied - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Extremely Low-Income Occupants,Owner-Occupied - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Very Low-Income Occupants,Owner-Occupied - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Low-Income Occupants,Owner-Occupied - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Other Eligible Occupants,Owner-Occupied - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Non-Eligible Occupants,Owner-Occupied - Number of Cumulative Units Occupied: Extremely Low-Income Occupants,Owner-Occupied - Number of Cumulative Units Occupied: Very Low-Income Occupants,Low-Income Occupants,Owner-Occupied - Number of Cumulative Units Occupied: Other Eligible Occupants,Owner-Occupied - Number of Cumulative Units Occupied: Non-Eligible Occupants,Owner-Occupied - Number of Units Sold to First-Time Homebuyers: Extremely Low-Income Homebuyers,Owner-Occupied - Number of Units Sold to First-Time Homebuyers:  Very Low-Income Homebuyers,Owner-Occupied - Number of Units Sold to First-Time Homebuyers:  Low-Income Homebuyers,Owner-Occupied - Number of Units Sold to First-Time Homebuyers:  Other Eligible Homebuyers,Owner-Occupied - Number of Units Sold to First-Time Homebuyers:  Non-Eligible Homebuyers,Owner-Occupied - Minimum Sales Price,Owner-Occupied - Maximum Sales Price,new_index,Coordinates
0,1,20234,Complete,,MF - New Development,2012-10-31,2014-12-31 00:00:00,907902,Debt,0.065,0,3311020,1274939,15880507,20466466.0,20892851.0,301 S. Pacific Avenue,San Pedro,CA,90731,,,,,,,06037296600,"CA, Los Angeles, Los Angeles, 90731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20234,POINT (-118.29236 33.73978)
1,1,20284,Complete,,MF - Rehab,2012-05-31,2012-06-30 00:00:00,17709,Debt,0.05,0,44545,22272.5,22272.5,89090.0,110517.0,100 9th Steet,Oakland,CA,94607,,,,,,,06001403300,"CA, Alameda, Oakland, 94607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20284,POINT (-122.26641 37.79454)
2,1,20295,Complete,,MF - Preservation WITH Rehab,2012-03-29,2013-05-01 00:00:00,650000,Debt,0.0647,0,2763279,5455125,4367263,12585667.0,12908377.0,4251 Juniper Street,San Diego,CA,92105,,,,,,,06073002502,"CA, San Diego, San Diego, 92105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20295,POINT (-117.10802 32.72816)
3,1,20301.1,Complete,,MF - Rehab,2012-02-03,2012-03-31 00:00:00,16865,Debt,0.05,0,92732.06,46366.04,46366.04,185464.14,186511.96,34 Turk Street,San Francisco,CA,94102,,,,,,,06075012501,"CA, San Francisco, San Francisco, 94102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20301.1,POINT (-122.41098 37.78302)
4,1,20301.2,Complete,,MF - Rehab,2012-02-03,2012-03-31 00:00:00,16865,Debt,0.05,0,46104.08,23052.04,23052.04,92208.16,94303.8,216 Eddy Street,San Francisco,CA,94102,,,,,,,06075012502,"CA, San Francisco, San Francisco, 94102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20301.2,POINT (-122.4126 37.78393)
5,1,20301.3,Complete,,MF - Rehab,2012-02-03,2012-03-31 00:00:00,16865,Debt,0.05,0,8906.46,4453.24,4453.24,17812.94,33530.24,480 Eddy Street,San Francisco,CA,94109,,,,,,,06075012401,"CA, San Francisco, San Francisco, 94102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20301.3,POINT (-122.41579 37.78305)
6,1,20314,Complete,,MF - Rehab,2012-03-29,2012-06-30 00:00:00,13444,Debt,0.05,0,26887,13443.5,13443.5,53774.0,53774.0,835 O'Farrell Street,San Francisco,CA,94109,,,,,,,06075012202,"CA, San Francisco, San Francisco, 94109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20314,POINT (-122.41964 37.78541)
7,1,20315,Complete,,MF - Rehab,2012-03-29,2012-06-30 00:00:00,14925,Debt,0.05,0,14593,7296.5,7296.5,29186.0,66230.0,1000 Market Street,San Francisco,CA,94102,,,,,,,06075017601,"CA, San Francisco, San Francisco, 94103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20315,POINT (-122.41072 37.77943)
8,1,20327,Complete,,EDA/CSF,2012-03-05,2012-08-20 00:00:00,58000,Debt,0.065,0,77270,500000,588230,1165500.0,1165500.0,5050 W. Colfax Avenue,Denver,CO,80204,,Healthcare,7400,,,,08031000701,"CO, Denver, Denver, 80204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20327,POINT (-105.04615 39.73943)
9,1,20351,Complete,,MF - Preservation WITH Rehab,2012-06-08,2014-06-30 00:00:00,281000,Debt,0.052000000000000005,0,0,2065574,2895498,4961072.0,5043757.0,3555 N. Pleasant,Fresno,CA,93705,,,,,,,06019004704,"CA, Fresno, Fresno, 93705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20351,POINT (-119.83525 36.78294)
